name,hebrew_name,yahrzeit_hebrew,yahrzeit_month,year_passed,notes,category
"Adam","אדם","6 Tishrei","# TISHREI",,"First man","biblical"
"Joseph","יוסף","1 Tishrei","# TISHREI",,"Son of Jacob","other"
"King Solomon","שלמה המלך","7 Tishrei","# TISHREI",,"Built Temple","biblical"
"Hillel the Elder","הלל הזקן","8 Tishrei","# TISHREI",,"Golden Rule","talmudic"
"Rabbi Akiva","רבי עקיבא","9 Tishrei","# TISHREI",,"Yom Kippur, martyr","talmudic"
"Rabbi Yaakov Yosef of Polonne","רבי יעקב יוסף מפולנאה","9 Tishrei","# TISHREI",1782,"Disciple of Baal Shem Tov","other"
"Magen Avraham (Rabbi Avraham Gombiner)","מגן אברהם","5 Tishrei","# TISHREI",1683,"Commentator","other"
"Rebbe Nachman of Breslov","רבי נחמן מברסלב","18 Tishrei","# TISHREI",1810,"Founder of Breslov","chassidic"
"Saba Yisroel Ber Odesser","הסבא ישראל בער אודעסר","20 Tishrei","# TISHREI",1994,"Received the Letter","breslov"
"Rabbi Eliyahu of Vilna (Gra)","רבי אליהו מווילנה","19 Tishrei","# TISHREI",1797,"Opponent of Hasidism","lithuanian"
"Rabbi Akiva Eiger","רבי עקיבא אייגר","12 Tishrei","# TISHREI",1837,"Halachic authority","talmudic"
"Rabbi Moshe Sofer (Chatam Sofer)","רבי משה סופר","25 Tishrei","# TISHREI",1839,"Author of Chatam Sofer","other"
"Noah","נח","10 Cheshvan","# CHESHVAN",,"Built Ark","biblical"
"Abraham","אברהם","1 Cheshvan","# CHESHVAN",,"First Patriarch","biblical"
"Sarah","שרה","1 Cheshvan","# CHESHVAN",,"First Matriarch","other"
"Jacob","יעקב","15 Cheshvan","# CHESHVAN",,"Third Patriarch","other"
"Rachel","רחל","11 Cheshvan","# CHESHVAN",,"Matriarch","other"
"Isaiah","ישעיהו","11 Cheshvan","# CHESHVAN",,"Prophet","other"
"Shammai","שמאי","10 Cheshvan","# CHESHVAN",,"Zug","other"
"Rabban Gamliel the Elder","רבן גמליאל הזקן","16 Cheshvan","# CHESHVAN",,"Grandson of Hillel","other"
"Rabbi Nachum of Chernobyl","רבי נחום מצ'רנוביל","11 Cheshvan","# CHESHVAN",1797,"Disciple of Baal Shem Tov","other"
"Rabbi Avraham Chazan","רבי אברהם חזן","12 Cheshvan","# CHESHVAN",1917,"Son of Reb Noson","breslov"
"Rabbi Nachman of Tulchin","רבי נחמן מטולטשין","5 Cheshvan","# CHESHVAN",1865,"Breslov disciple","breslov"
"Rabbeinu Asher (Rosh)","רבנו אשר","9 Cheshvan","# CHESHVAN",1327,"Legalist","other"
"Rabbeinu Yonah of Gerondi","רבנו יונה","28 Cheshvan","# CHESHVAN",1263,"Ethicist","other"
"Rava","רבא","4 Cheshvan","# CHESHVAN",,"Amora","other"
"Rav (Abba Arikha)","רב","4 Kislev","# CHESHVAN",,"Founder of Babylonian yeshiva","other"
"Isaac","יצחק","25 Kislev","# KISLEV",,"Second Patriarch","other"
"Rebecca","רבקה","5 Kislev","# KISLEV",,"Second Matriarch","other"
"Rabbi Yehuda HaNasi","רבי יהודה הנשיא","15 Kislev","# KISLEV",,"Compiled Mishnah","talmudic"
"Maggid of Mezritch (Rabbi Dov Ber)","המגיד ממזריטש","19 Kislev","# KISLEV",1772,"Successor to Baal Shem Tov","chassidic"
"Rabbi Shmuel Horowitz","רבי שמואל הורוויץ","24 Kislev","# KISLEV",1973,"Jerusalem Breslov leader","other"
